start	end
2017-08-06 00:50:30	2017-08-06 01:37:00
2017-08-06 01:58:30	2017-08-06 02:49:00
2017-08-06 03:07:15	2017-08-06 03:24:15
2017-08-06 04:23:30	2017-08-06 04:33:30
2017-08-06 05:00:15	2017-08-06 05:21:45
2017-08-06 05:38:15	2017-08-06 06:00:15
2017-08-06 06:16:45	2017-08-06 06:33:30
2017-08-06 06:40:45	2017-08-06 06:56:45
2017-08-06 08:08:15	2017-08-06 08:34:45
2017-08-06 09:00:00	2017-08-06 10:03:00
2017-08-06 10:24:45	2017-08-06 10:55:00
2017-08-06 11:12:15	2017-08-06 11:31:45
2017-08-06 11:46:15	2017-08-06 12:06:30
2017-08-06 13:38:00	2017-08-06 13:39:00
2017-08-06 13:43:15	2017-08-06 13:52:30
2017-08-06 14:02:00	2017-08-06 14:11:30
2017-08-06 14:16:15	2017-08-06 14:30:15
2017-08-06 14:39:30	2017-08-06 14:52:30
2017-08-06 18:33:30	2017-08-06 18:51:00
2017-08-06 19:01:00	2017-08-06 19:03:00
2017-08-06 20:36:15	2017-08-06 20:41:00
2017-08-06 20:45:45	2017-08-06 20:52:15
2017-08-06 20:59:15	2017-08-06 21:05:00
2017-08-06 21:08:45	2017-08-06 21:16:30
2017-08-06 21:18:30	2017-08-06 21:28:00
2017-08-06 22:30:15	2017-08-06 22:38:45
2017-08-06 22:52:30	2017-08-06 23:00:15
2017-08-06 23:49:15	2017-08-06 23:54:00
2017-08-07 00:03:45	2017-08-07 00:08:15
2017-08-07 00:14:45	2017-08-07 00:19:30
2017-08-07 00:25:15	2017-08-07 00:29:00
2017-08-07 00:30:30	2017-08-07 00:36:15
2017-08-07 00:42:00	2017-08-07 00:46:15
2017-08-07 00:50:30	2017-08-07 00:55:45
2017-08-07 01:01:30	2017-08-07 01:06:00
2017-08-07 01:09:30	2017-08-07 01:11:45
2017-08-07 02:29:00	2017-08-07 02:37:30
2017-08-07 02:42:30	2017-08-07 02:48:45
2017-08-07 02:51:15	2017-08-07 03:22:15
2017-08-07 03:37:15	2017-08-07 03:52:15
2017-08-07 04:52:00	2017-08-07 05:20:30
2017-08-07 05:38:15	2017-08-07 06:28:30
2017-08-07 08:08:30	2017-08-07 09:05:00
2017-08-07 09:28:15	2017-08-07 10:10:30
2017-08-07 11:52:30	2017-08-07 11:56:45
2017-08-07 12:16:15	2017-08-07 13:48:45
2017-08-07 14:40:45	2017-08-07 14:59:45
2017-08-07 15:30:45	2017-08-08 13:45:30
2017-08-08 14:06:45	2017-08-08 14:18:15
2017-08-08 14:27:00	2017-08-13 09:51:30
2017-08-13 09:51:45	2017-08-13 10:04:45
2017-08-13 10:04:45	2017-08-13 10:16:45
2017-08-13 10:16:45	2017-08-13 10:53:00
2017-08-13 10:53:30	2017-08-13 11:05:45
2017-08-13 11:05:45	2017-08-13 11:28:00
2017-08-13 11:29:30	2017-08-13 11:40:00
2017-08-14 04:42:00	2017-08-14 05:36:15
2017-08-14 05:36:15	2017-08-14 05:46:15
2017-08-14 05:46:15	2017-08-14 05:53:30
2017-08-14 05:58:45	2017-08-14 06:01:15
2017-08-14 06:02:15	2017-08-14 06:18:30
2017-08-14 06:18:30	2017-08-14 06:50:30
2017-08-14 06:50:30	2017-08-14 06:54:15
2017-08-14 10:40:45	2017-08-14 10:41:30
2017-08-14 10:41:45	2017-08-14 10:49:15
2017-08-14 10:51:00	2017-08-14 10:55:30
2017-08-14 10:56:15	2017-08-14 11:00:00
2017-08-14 11:01:15	2017-08-14 11:05:30
2017-08-14 11:07:30	2017-08-14 11:14:45
2017-08-14 11:15:00	2017-08-14 11:19:15
2017-08-14 11:20:15	2017-08-14 12:09:30
2017-08-14 12:09:30	2017-08-14 12:16:00
2017-08-14 12:17:00	2017-08-14 12:25:30
2017-08-14 12:27:45	2017-08-14 12:34:00
2017-08-14 12:35:00	2017-08-14 12:42:00
2017-08-14 12:42:45	2017-08-14 14:31:30
2017-08-14 14:52:00	2017-08-14 15:26:30
2017-08-14 15:32:00	2017-08-14 15:50:15
2017-08-14 15:53:45	2017-08-14 16:03:00
2017-08-14 16:05:15	2017-08-14 16:12:00
2017-08-14 16:12:30	2017-08-14 16:18:00
2017-08-14 16:18:15	2017-08-14 16:26:00
2017-08-14 16:26:15	2017-08-14 16:34:30
2017-08-14 16:35:30	2017-08-14 16:43:00
2017-08-14 16:43:00	2017-08-14 16:51:00
2017-08-14 16:51:30	2017-08-14 17:00:30
2017-08-14 17:01:00	2017-08-14 23:17:00
2017-08-14 23:19:45	2017-08-14 23:26:30
2017-08-14 23:29:30	2017-08-15 00:11:45
2017-08-15 00:12:45	2017-08-15 00:18:45
2017-08-15 00:19:15	2017-08-15 01:47:45
2017-08-15 01:48:00	2017-08-15 01:57:00
2017-08-15 02:00:15	2017-08-15 02:13:00
2017-08-15 02:18:00	2017-08-15 02:28:30
2017-08-15 02:28:45	2017-08-15 03:16:30
2017-08-15 03:19:45	2017-08-15 03:26:15
2017-08-15 03:28:15	2017-08-15 03:34:15
2017-08-15 03:38:30	2017-08-15 04:21:15
2017-08-15 04:25:15	2017-08-15 04:33:15
2017-08-15 04:35:00	2017-08-15 04:39:30
2017-08-15 04:41:00	2017-08-15 04:50:00
2017-08-15 04:53:45	2017-08-15 04:55:00
2017-08-15 05:04:15	2017-08-15 05:06:30
2017-08-15 05:09:30	2017-08-15 05:16:30
2017-08-15 05:19:45	2017-08-15 05:27:00
2017-08-15 05:28:30	2017-08-15 05:29:30
2017-08-15 05:45:00	2017-08-15 05:47:15
2017-08-15 05:47:15	2017-08-15 05:57:30
2017-08-15 06:08:30	2017-08-15 06:20:30
2017-08-15 06:45:45	2017-08-15 06:47:15
2017-08-18 09:57:15	2017-08-19 12:13:30
2017-08-19 12:56:15	2017-08-19 20:59:45
2017-08-19 21:43:15	2017-08-20 01:16:00
2017-08-20 01:53:30	2017-08-20 03:55:15
2017-08-20 04:29:30	2017-08-20 06:32:45
