StartTime,EndTime,XX,XX,XX,XX
2008.8900895618,2008.8901576061,0.0000000000,0.0000000000,0.0013155242,-0.2087029482
2008.8916470214,2008.8917226263,0.0000000000,0.0000000000,0.0014894153,-0.1497482696
2008.8929020618,2008.8929701061,0.0000000000,0.0000000000,0.0011794355,-0.4847460338
2008.8945426868,2008.8946205597,0.0000000000,0.0000000000,0.0015725806,0.1211326706
2008.8957395114,2008.8958377976,0.0000000000,0.0000000000,0.0011189516,-0.6919381000
2008.8974708622,2008.8975389065,0.0000000000,0.0000000000,0.0016330645,0.3705223373
2008.8986351767,2008.8986956605,0.0000000000,0.0000000000,0.0010962702,-0.7559343044
2008.9009184428,2008.9010038763,0.0000000000,0.0000000000,0.0022227823,-0.4069531915
2008.9034081101,2008.9034534730,0.0000000000,0.0000000000,0.0024042339,0.1981265910
2008.9044816989,2008.9045270618,0.0000000000,0.0000000000,0.0010282258,-0.3874780706
2008.9060618400,2008.9061397130,0.0000000000,0.0000000000,0.0015347782,0.3798166767
2008.9072284226,2008.9072889065,0.0000000000,0.0000000000,0.0010887097,-0.5310177023
2008.9088917291,2008.9089597735,0.0000000000,0.0000000000,0.0016028226,0.3236967650
2008.9101921323,2008.9102601767,0.0000000000,0.0000000000,0.0012323589,-0.2057627300
2008.9117647130,2008.9118728279,0.0000000000,0.0000000000,0.0015045363,0.1770473112
2008.9145492392,2008.9146172835,0.0000000000,0.0000000000,0.0026764113,0.1796169668
2008.9157059932,2008.9157437956,0.0000000000,0.0000000000,0.0010887097,-0.4831351235
2008.9172936948,2008.9173715678,0.0000000000,0.0000000000,0.0015498992,0.2218382573
2008.9201916283,2008.9202369912,0.0000000000,0.0000000000,0.0028200605,-0.0101187615
2008.9229058420,2008.9229610335,0.0000000000,0.0000000000,0.0026688508,0.0127776243
2008.9242160739,2008.9242841182,0.0000000000,0.0000000000,0.0012550403,-0.3979229868
2008.9255996424,2008.9256601263,0.0000000000,0.0000000000,0.0013155242,0.0658021907
2008.9278375456,2008.9278927372,0.0000000000,0.0000000000,0.0021774194,0.6871122759
2008.9290494912,2008.9291099751,0.0000000000,0.0000000000,0.0011567540,-0.3336680498
2008.9311210638,2008.9311815476,0.0000000000,0.0000000000,0.0020110887,-0.0270519437
2008.9328977775,2008.9329907714,0.0000000000,0.0000000000,0.0017162298,0.0540423431
2008.9340946021,2008.9341550860,0.0000000000,0.0000000000,0.0011038306,-0.3256669548
2008.9357201061,2008.9357805900,0.0000000000,0.0000000000,0.0015650202,0.1512337023
2008.9368995416,2008.9369524650,0.0000000000,0.0000000000,0.0011189516,-0.4000324931
2008.9387064972,2008.9387919307,0.0000000000,0.0000000000,0.0017540323,0.1367520797
2008.9414607815,2008.9415212654,0.0000000000,0.0000000000,0.0026688508,0.2926316420
2008.9423075557,2008.9423831605,0.0000000000,0.0000000000,0.0007862903,-0.8144735519
2008.9441901162,2008.9442679892,0.0000000000,0.0000000000,0.0018069556,0.6122916283
2008.9450618400,2008.9451374448,0.0000000000,0.0000000000,0.0007938508,-1.0996329865
2008.9470578077,2008.9471107311,0.0000000000,0.0000000000,0.0019203629,0.6803247404
2008.9478894610,2008.9479650658,0.0000000000,0.0000000000,0.0007787298,-1.3008088340
2008.9499232311,2008.9499859831,0.0000000000,0.0000000000,0.0019581653,0.6974686701
2008.9507873944,2008.9508478783,0.0000000000,0.0000000000,0.0008014113,-1.3618655573
2008.9527606807,2008.9528136041,0.0000000000,0.0000000000,0.0019128024,0.7352711527
2008.9536452573,2008.9536906202,0.0000000000,0.0000000000,0.0008316532,-1.3581534596
2008.9556109831,2008.9556888561,0.0000000000,0.0000000000,0.0019203629,0.6703529429
