StartTime,EndTime,XX,XX,XX,XX
2010.1172307464,2010.1172912303,0.0000000000,0.0000000000,0.0021884138,0.2114605656
2010.1195352929,2010.1195942732,1.0000000000,100.0000000000,0.0022440626,0.4440677518
2010.1206768455,2010.1207462899,1.0000000000,6.0000000000,0.0010825723,-0.8944312958
2010.1228324773,2010.1228886036,1.0000000000,100.0000000000,0.0020861874,0.1567546478
2010.1249673895,2010.1250429944,0.0000000000,0.0000000000,0.0020787860,0.2613377211
2010.1283828005,2010.1284275115,1.0000000000,111.0000000000,0.0033398062,0.1006650624
2010.1298730022,2010.1299267504,1.0000000000,100.0000000000,0.0014454907,0.0989765467
2010.1313146879,2010.1313789003,1.0000000000,111.0000000000,0.0013879375,-0.0940633479
2010.1326926370,2010.1327582762,1.0000000000,100.0000000000,0.0013137367,-0.0000761921
2010.1353115488,2010.1353705290,1.0000000000,100.0000000000,0.0025532726,-0.0084524453
2010.1369725077,2010.1370390981,1.0000000000,100.0000000000,0.0016019786,-0.1440688240
2010.1381378425,2010.1382077625,1.0000000000,100.0000000000,0.0010987444,-0.0532219603
2010.1408052701,2010.1408685312,1.0000000000,100.0000000000,0.0025975077,0.1537589243
2010.1421575342,2010.1422160389,1.0000000000,100.0000000000,0.0012890030,-0.4323249508
2010.1435697299,2010.1436339422,1.0000000000,100.0000000000,0.0013536910,0.3313364382
2010.1448677701,2010.1449348364,1.0000000000,100.0000000000,0.0012338279,-0.5022645433
2010.1463960236,2010.1464473934,1.0000000000,6.0000000000,0.0014611871,0.4275183145
2010.1476317542,2010.1476983447,1.0000000000,100.0000000000,0.0011843608,-0.6243960059
2010.1492636986,2010.1493136416,1.0000000000,6.0000000000,0.0015653540,0.4687161195
2010.1503077436,2010.1503686263,1.0000000000,111.0000000000,0.0009941019,-0.7233959738
2010.1521128236,2010.1521608638,1.0000000000,6.0000000000,0.0017441973,0.5644220795
2010.1531816019,2010.1532358258,1.0000000000,6.0000000000,0.0010207381,-0.9234801988
2010.1550794332,2010.1551479263,1.0000000000,100.0000000000,0.0018436074,0.5641588199
2010.1569782153,2010.1570495625,1.0000000000,100.0000000000,0.0018302890,0.3812463146
2010.1582910008,2010.1583618721,1.0000000000,100.0000000000,0.0012414384,-0.0475985234
2010.1601517312,2010.1602126142,1.0000000000,100.0000000000,0.0017898592,0.2044385340
2010.1612523784,2010.1613208715,1.0000000000,100.0000000000,0.0010397641,-0.3844280179
2010.1627773022,2010.1628400874,1.0000000000,100.0000000000,0.0014564307,-0.0787281217
2010.1641038814,2010.1641718989,1.0000000000,100.0000000000,0.0012637940,-0.3609665680
2010.1655227359,2010.1655921803,1.0000000000,100.0000000000,0.0013508370,-0.1871978420
2010.1670019978,2010.1670562214,1.0000000000,100.0000000000,0.0014098175,-0.3799684543
2010.1683480784,2010.1684279871,1.0000000000,100.0000000000,0.0012918570,-0.3011811061
2010.1701098745,2010.1701702816,1.0000000000,100.0000000000,0.0016818874,-0.2580694841
2010.1713075532,2010.1714050608,1.0000000000,100.0000000000,0.0011372715,-0.5656762314
2010.1738941211,2010.1739588090,1.0000000000,100.0000000000,0.0024890603,-0.0919056497
2010.1763465564,2010.1764160008,1.0000000000,100.0000000000,0.0023877474,0.4248862855
2010.1776831241,2010.1777639841,1.0000000000,100.0000000000,0.0012671233,-0.4313493299
2010.1791795090,2010.1792508562,1.0000000000,100.0000000000,0.0014155249,0.3656174401
2010.1804095321,2010.1804861112,1.0000000000,100.0000000000,0.0011586759,-0.7177010913
2010.1819135274,2010.1819829718,1.0000000000,100.0000000000,0.0014274162,0.3412627459
2010.1830546044,2010.1831197679,1.0000000000,100.0000000000,0.0010716326,-0.7824597051
2010.1846903540,2010.1847455290,1.0000000000,100.0000000000,0.0015705860,0.2908762209
2010.1858052701,2010.1858861301,1.0000000000,100.0000000000,0.0010597411,-0.6849082383
2010.1874719367,2010.1875442351,1.0000000000,100.0000000000,0.0015858066,0.2474997122
2010.1886206241,2010.1886791285,1.0000000000,6.0000000000,0.0010763890,-0.6625700287
2010.1903096460,2010.1903619674,1.0000000000,6.0000000000,0.0016305175,0.1780204728
2010.1915215730,2010.1916198593,0.0000000000,0.0000000000,0.0011596056,-0.7945076624
2010.1932302424,2010.1933134077,0.0000000000,0.0000000000,0.0016103831,0.1455401032
2010.1946818553,2010.1947423391,0.0000000000,0.0000000000,0.0013684476,-0.6012159007
2010.1969268455,2010.1969934362,1.0000000000,100.0000000000,0.0021845063,-0.3457223847
2010.1984983827,2010.1985630707,1.0000000000,100.0000000000,0.0015049466,0.0850886980
2010.1998468416,2010.1999148592,1.0000000000,100.0000000000,0.0012837710,-0.4949937126
2010.2014978121,2010.2015567923,1.0000000000,100.0000000000,0.0015829529,-0.0422154137
2010.2040282534,2010.2040924658,1.0000000000,100.0000000000,0.0024714611,-0.1420879425
2010.2055712518,2010.2056368912,1.0000000000,6.0000000000,0.0014787860,-0.2561771658
2010.2069087710,2010.2069715564,1.0000000000,6.0000000000,0.0012718797,-0.2683120737
2010.2092161340,2010.2092774923,1.0000000000,100.0000000000,0.0022445775,-0.0495570355
2010.2117617962,2010.2118212518,1.0000000000,100.0000000000,0.0024843038,0.1627943736
2010.2144563356,2010.2145162671,1.0000000000,100.0000000000,0.0026350838,0.3446834472
2010.2173102170,2010.2173730022,1.0000000000,100.0000000000,0.0027939499,0.3453328339
2010.2201669521,2010.2202259323,1.0000000000,100.0000000000,0.0027939499,0.3056285266
2010.2214278921,2010.2214825912,1.0000000000,100.0000000000,0.0012019597,-0.4203706235
2010.2229123858,2010.2229761225,1.0000000000,100.0000000000,0.0014297945,0.5101221781
2010.2242327816,2010.2242974696,1.0000000000,100.0000000000,0.0012566592,-0.5399477961
2010.2257415334,2010.2258062214,1.0000000000,100.0000000000,0.0014440638,0.5166896192
2010.2271104452,2010.2271694255,1.0000000000,100.0000000000,0.0013042238,-0.6528585758
2010.2285801940,2010.2286315638,1.0000000000,6.0000000000,0.0014107685,0.4872503701
2010.2296884512,2010.2297597984,1.0000000000,6.0000000000,0.0010568874,-0.7111518730
2010.2313636797,2010.2314169521,1.0000000000,6.0000000000,0.0016038814,0.4754863050
2010.2324852551,2010.2325375762,1.0000000000,6.0000000000,0.0010683030,-0.7627510903
2010.2343036529,2010.2343459855,1.0000000000,111.0000000000,0.0017660767,0.3752792515
2010.2353790907,2010.2354361682,1.0000000000,100.0000000000,0.0010331052,-0.7929423339
2010.2369254186,2010.2369858258,1.0000000000,6.0000000000,0.0014892504,0.0978192654
2010.2381730403,2010.2382348745,1.0000000000,6.0000000000,0.0011872145,-0.7020541380
2010.2395029490,2010.2395676370,1.0000000000,6.0000000000,0.0012680745,-0.3001309016
2010.2409119460,2010.2409724299,0.0000000000,0.0000000000,0.0013443090,-0.5100355547
2010.2422065258,2010.2422778729,1.0000000000,100.0000000000,0.0012340959,-0.4769565225
2010.2437419140,2010.2438246764,1.0000000000,100.0000000000,0.0014640411,-0.3070279896
2010.2450242581,2010.2450946537,1.0000000000,100.0000000000,0.0011995816,-0.6585467660
2010.2475199773,2010.2475756279,1.0000000000,100.0000000000,0.0024253236,0.0965645539
2010.2500061833,2010.2500680175,1.0000000000,100.0000000000,0.0024305553,0.5816629606
2010.2510611682,2010.2511210997,1.0000000000,6.0000000000,0.0009931507,-0.8418704935
2010.2528381849,2010.2528952625,1.0000000000,100.0000000000,0.0017170852,0.5661426744
2010.2556345129,2010.2556854071,1.0000000000,6.0000000000,0.0027392504,0.5189821085
2010.2567099504,2010.2567765411,1.0000000000,100.0000000000,0.0010245433,-0.7847046024
2010.2583242962,2010.2583875570,1.0000000000,100.0000000000,0.0015477551,0.5394117427
2010.2595324392,2010.2595923707,1.0000000000,6.0000000000,0.0011448822,-0.7061619861
2010.2611895929,2010.2612390600,1.0000000000,6.0000000000,0.0015972222,0.3829350148
2010.2623749049,2010.2624357877,1.0000000000,100.0000000000,0.0011358449,-0.6487807156
2010.2639351315,2010.2640107363,0.0000000000,0.0000000000,0.0014993438,0.3564784447
2010.2652204137,2010.2653111395,0.0000000000,0.0000000000,0.0012096774,-0.6218201132
2010.2667854339,2010.2668633069,0.0000000000,0.0000000000,0.0014742944,0.1835277800
2010.2681587710,2010.2682301181,1.0000000000,2.0000000000,0.0012954641,-0.6992242113
