start	end
2015-07-09 10:26:00	2015-07-09 10:28:30
2015-07-09 10:28:30	2015-07-09 10:32:00
2015-07-09 10:35:45	2015-07-09 10:37:00
2015-07-09 10:37:00	2015-07-09 10:40:15
2015-07-09 10:41:45	2015-07-09 10:45:00
2015-07-09 10:45:45	2015-07-09 10:47:45
2015-07-09 10:51:45	2015-07-09 10:55:00
2015-07-09 10:55:00	2015-07-09 10:58:00
2015-07-09 11:03:15	2015-07-09 11:06:30
2015-07-09 11:09:30	2015-07-09 11:11:15
2015-07-09 11:14:30	2015-07-09 11:18:00
2015-07-09 11:20:45	2015-07-09 11:22:30
2015-07-09 11:23:15	2015-07-09 11:23:45
2015-07-09 11:25:00	2015-07-09 11:28:15
2015-07-09 11:28:15	2015-07-09 11:31:00
2015-07-09 11:33:00	2015-07-09 11:36:45
2015-07-09 11:38:45	2015-07-09 11:39:00
2015-07-09 11:39:45	2015-07-09 11:42:15
2015-07-09 11:43:45	2015-07-09 11:47:00
2015-07-09 11:47:30	2015-07-09 11:53:30
2015-07-09 11:53:30	2015-07-09 11:57:00
2015-07-09 11:57:15	2015-07-09 11:57:45
2015-07-09 11:58:00	2015-07-09 12:00:30
2015-07-09 12:00:30	2015-07-09 12:07:15
2015-07-09 12:09:30	2015-07-09 12:15:15
2015-07-09 12:15:30	2015-07-09 12:16:45
2015-07-09 12:17:45	2015-07-09 12:19:15
2015-07-09 12:19:15	2015-07-09 12:23:45
2015-07-09 12:25:15	2015-07-09 12:31:30
2015-07-09 12:34:30	2015-07-09 12:38:15
2015-07-09 12:39:45	2015-07-09 12:40:15
2015-07-10 01:38:15	2015-07-10 02:27:00
2015-07-10 03:24:00	2015-07-10 08:40:45
2015-07-10 09:49:00	2015-07-12 08:22:15
2015-07-13 17:11:15	2015-07-14 11:32:30
2015-07-14 19:51:15	2015-07-15 04:07:15
2015-07-17 08:05:15	2015-07-23 02:06:30
2015-07-23 04:37:45	2015-07-23 06:43:30
2015-07-23 11:00:30	2015-07-23 11:30:45
2015-07-25 15:19:45	2015-07-26 08:00:00
2015-07-27 20:12:30	2015-07-31 08:11:30
2015-07-31 09:34:45	2015-08-06 18:16:15
2015-08-06 18:17:30	2015-08-06 18:38:00
2015-08-06 18:39:00	2015-08-06 18:52:45
2015-08-06 18:53:15	2015-08-06 19:11:30
2015-08-06 20:09:00	2015-08-06 20:15:00
2015-08-06 20:15:00	2015-08-06 20:49:00
2015-08-06 23:22:30	2015-08-06 23:35:15
2015-08-07 00:53:45	2015-08-07 00:59:30
2015-08-07 00:59:45	2015-08-07 01:17:30
2015-08-07 01:51:30	2015-08-07 02:02:00
2015-08-07 02:02:15	2015-08-07 02:17:30
2015-08-07 02:19:00	2015-08-07 02:28:45
2015-08-07 02:29:00	2015-08-07 02:30:30
2015-08-07 03:12:15	2015-08-07 03:25:45
2015-08-07 03:26:30	2015-08-07 03:35:45
2015-08-07 03:36:00	2015-08-07 04:03:45
2015-08-07 04:03:45	2015-08-07 04:12:00
2015-08-07 04:12:00	2015-08-07 04:22:15
2015-08-07 04:23:00	2015-08-07 04:30:45
2015-08-07 04:31:30	2015-08-07 04:40:00
2015-08-07 04:40:00	2015-08-07 04:56:15
2015-08-07 04:57:00	2015-08-07 05:12:00
2015-08-07 05:12:30	2015-08-07 05:20:45
2015-08-07 05:21:45	2015-08-07 06:41:00
2015-08-07 06:41:45	2015-08-07 06:48:30
2015-08-07 06:49:15	2015-08-07 06:58:00
2015-08-07 06:58:45	2015-08-07 07:06:00
2015-08-07 08:07:00	2015-08-07 08:09:00
2015-08-07 08:11:00	2015-08-07 08:30:00
2015-08-07 08:33:45	2015-08-07 08:51:30
2015-08-07 08:55:15	2015-08-07 09:09:00
2015-08-07 09:12:30	2015-08-07 09:24:30
2015-08-07 09:27:15	2015-08-07 09:49:00
2015-08-07 09:52:00	2015-08-07 11:14:00
2015-08-07 11:29:45	2015-08-08 13:30:45
2015-08-08 19:06:45	2015-08-08 19:36:00
2015-08-09 13:08:30	2015-08-10 12:34:00
2015-08-10 18:10:15	2015-08-11 02:23:00
2015-08-11 13:52:30	2015-08-16 01:26:15
2015-08-16 01:27:30	2015-08-16 04:28:30
2015-08-16 04:58:45	2015-08-16 05:04:00
2015-08-16 05:04:15	2015-08-16 05:15:00
2015-08-16 05:15:00	2015-08-16 05:27:30
2015-08-16 05:47:00	2015-08-16 06:20:00
2015-08-16 06:39:45	2015-08-16 07:10:15
2015-08-16 07:10:15	2015-08-16 08:55:30
2015-08-16 08:55:30	2015-08-16 09:29:15
2015-08-16 09:42:15	2015-08-16 09:54:45
2015-08-16 10:06:00	2015-08-16 10:25:30
2015-08-16 10:36:30	2015-08-16 10:48:45
2015-08-16 11:07:30	2015-08-16 11:15:15
2015-08-16 11:22:15	2015-08-16 11:30:00
2015-08-16 11:39:00	2015-08-16 11:47:30
2015-08-16 11:57:15	2015-08-16 12:03:00
2015-08-16 12:26:00	2015-08-16 12:29:30
2015-08-16 12:45:45	2015-08-16 12:50:15
2015-08-16 12:53:00	2015-08-16 12:59:30
2015-08-16 13:03:15	2015-08-16 13:07:15
2015-08-16 13:14:15	2015-08-16 13:21:30
2015-08-16 13:29:00	2015-08-16 13:33:30
2015-08-16 13:48:30	2015-08-16 13:52:00
2015-08-16 13:53:15	2015-08-16 13:57:30
2015-08-16 14:00:15	2015-08-16 14:10:45
2015-08-16 14:12:00	2015-08-16 14:25:00
2015-08-16 14:27:45	2015-08-16 14:41:00
2015-08-16 14:48:15	2015-08-16 14:54:45
2015-08-16 15:00:00	2015-08-16 15:06:00
2015-08-16 15:09:15	2015-08-16 15:16:00
2015-08-16 15:17:45	2015-08-16 15:26:30
2015-08-16 15:29:00	2015-08-16 15:37:30
2015-08-16 15:40:30	2015-08-16 15:56:00
