	time	la01x	la01y	la01res	la05x	la05y	la05res	ressum	event
11037	2010-12-31 21:59:15	-283556.95286201313	-560187.8664404245	0.858900647286327	-231686.72134912014	-585204.1130230327	1.4840566453712059	2.342957292657533	1.0
11038	2010-12-31 21:59:30	-283556.9553903018	-560187.866177952	0.858900647286327	-231686.72846702827	-585204.1150860188	1.4840566453712059	2.342957292657533	1.0
11039	2010-12-31 21:59:45	-283556.9543073309	-560187.8680825349	0.858900647286327	-231686.7273855735	-585204.1203951931	1.4840566453712059	2.342957292657533	1.0
11040	2010-12-31 22:00:00	-283556.95648340025	-560187.8683374492	0.858900647286327	-231686.72894177755	-585204.1204298807	1.4840566453712059	2.342957292657533	1.0
11041	2010-12-31 22:00:15	-283556.96260001045	-560187.8676150377	0.858900647286327	-231686.73087738146	-585204.1186873585	1.4840566453712059	2.342957292657533	1.0
11042	2010-12-31 22:00:30	-283556.95822324365	-560187.8681349742	0.858900647286327	-231686.7284857195	-585204.1209358391	1.4840566453712059	2.342957292657533	1.0
11043	2010-12-31 22:00:45	-283556.9555082205	-560187.8698483707	0.858900647286327	-231686.7238149927	-585204.1211580096	1.4840566453712059	2.342957292657533	1.0
11044	2010-12-31 22:01:00	-283556.9559987641	-560187.870278267	0.858900647286327	-231686.72656491402	-585204.1203946967	1.4840566453712059	2.342957292657533	1.0
11045	2010-12-31 22:01:15	-283556.95572633337	-560187.8700770653	0.858900647286327	-231686.72773871542	-585204.1183029743	1.4840566453712059	2.342957292657533	1.0
11046	2010-12-31 22:01:30	-283556.9564103641	-560187.8717654246	0.858900647286327	-231686.7283396348	-585204.1216444786	1.4840566453712059	2.342957292657533	1.0
11047	2010-12-31 22:01:45	-283556.95603858214	-560187.8753446196	0.858900647286327	-231686.7259962606	-585204.1251754487	1.4840566453712059	2.342957292657533	1.0
11048	2010-12-31 22:02:00	-283556.955531159	-560187.8681412559	0.858900647286327	-231686.73061781062	-585204.1194409279	1.4840566453712059	2.342957292657533	1.0
11049	2010-12-31 22:02:15	-283556.94984402444	-560187.866611673	0.858900647286327	-231686.72406521766	-585204.1174795291	1.4840566453712059	2.342957292657533	1.0
11050	2010-12-31 22:02:30	-283556.95680677245	-560187.8671564624	0.9238754794590601	-231686.72600593982	-585204.1193143935	1.5940860069024045	2.5179614863614646	1.0
11051	2010-12-31 22:02:45	-283556.95686461823	-560187.857632368	0.9238754794590601	-231686.7318864051	-585204.1114544527	1.5940860069024045	2.5179614863614646	1.0
11052	2010-12-31 22:03:00	-283556.9557943066	-560187.864617051	0.9238754794590601	-231686.72799494854	-585204.1224317447	1.5940860069024045	2.5179614863614646	1.0
11053	2010-12-31 22:03:15	-283556.9458523914	-560187.8798224845	0.9238754794590601	-231686.7168615284	-585204.133022173	1.5940860069024045	2.5179614863614646	1.0
11054	2010-12-31 22:03:30	-283556.95248854335	-560187.8693422717	0.9238754794590601	-231686.72751686108	-585204.1219702209	1.5940860069024045	2.5179614863614646	1.0
11055	2010-12-31 22:03:45	-283556.95119336725	-560187.8733888739	0.9238754794590601	-231686.72939238363	-585204.1251325007	1.5940860069024045	2.5179614863614646	1.0
11056	2010-12-31 22:04:00	-283556.95113060955	-560187.8700296333	0.9238754794590601	-231686.7248804257	-585204.122688604	1.5940860069024045	2.5179614863614646	1.0
11057	2010-12-31 22:04:15	-283556.9592670883	-560187.8723540057	0.9238754794590601	-231686.73006484393	-585204.1261678737	1.5940860069024045	2.5179614863614646	1.0
11058	2010-12-31 22:04:30	-283556.95170516195	-560187.8714343089	0.9238754794590601	-231686.7268202575	-585204.1202936044	1.5940860069024045	2.5179614863614646	1.0
11059	2010-12-31 22:04:45	-283556.9457106902	-560187.8775205066	0.9238754794590601	-231686.7182867792	-585204.1226958691	1.5940860069024045	2.5179614863614646	1.0
11060	2010-12-31 22:05:00	-283556.9504575505	-560187.8727440276	0.9238754794590601	-231686.7219382463	-585204.1225518311	1.5940860069024045	2.5179614863614646	1.0
11061	2010-12-31 22:05:15	-283556.95742536266	-560187.8753208586	0.9238754794590601	-231686.7258945681	-585204.1190330861	1.5940860069024045	2.5179614863614646	1.0
11062	2010-12-31 22:05:30	-283556.95205906895	-560187.8715942687	0.9238754794590601	-231686.71999029283	-585204.1174658187	1.5940860069024045	2.5179614863614646	1.0
11063	2010-12-31 22:05:45	-283556.94443100854	-560187.8659606377	0.9238754794590601	-231686.71417658316	-585204.1106562742	1.5940860069024045	2.5179614863614646	1.0
11064	2010-12-31 22:06:00	-283556.95335508906	-560187.8678863404	0.9238754794590601	-231686.72270972823	-585204.1170399755	1.5940860069024045	2.5179614863614646	1.0
11065	2010-12-31 22:06:15	-283556.9556915792	-560187.8670427524	0.9238754794590601	-231686.72708917444	-585204.1224649455	1.5940860069024045	2.5179614863614646	1.0
11066	2010-12-31 22:06:30	-283556.95104322635	-560187.8677001622	0.9238754794590601	-231686.7216811222	-585204.1141931958	1.5940860069024045	2.5179614863614646	1.0
11067	2010-12-31 22:06:45	-283556.94680731674	-560187.8701834026	0.9238754794590601	-231686.71769854322	-585204.1173969358	1.5940860069024045	2.5179614863614646	1.0
11068	2010-12-31 22:07:00	-283556.95537664596	-560187.8716104719	0.9238754794590601	-231686.72465890515	-585204.1175698857	1.5940860069024045	2.5179614863614646	1.0
11069	2010-12-31 22:07:15	-283556.95287551667	-560187.8718591982	0.9238754794590601	-231686.72467459363	-585204.1195160833	1.5940860069024045	2.5179614863614646	1.0
11070	2010-12-31 22:07:30	-283556.9530936302	-560187.872087894	0.9238754794590601	-231686.72104637988	-585204.116071502	1.5940860069024045	2.5179614863614646	1.0
11071	2010-12-31 22:07:45	-283556.9544694389	-560187.8676613778	0.9238754794590601	-231686.7232762679	-585204.1125854619	1.5940860069024045	2.5179614863614646	1.0
