time	grad2	ev_time
2013-03-12 10:13:45	0.010316767909033658	2013-03-12 10:42:30
2013-03-12 10:14:00	0.006932381729026962	2013-03-12 10:42:30
2013-03-12 10:14:15	0.0033857515698681876	2013-03-12 10:42:30
2013-03-12 10:14:30	-0.00024064772934436653	2013-03-12 10:42:30
2013-03-12 10:14:45	-0.003861093483830447	2013-03-12 10:42:30
2013-03-12 10:15:00	-0.007388995806419993	2013-03-12 10:42:30
2013-03-12 10:15:15	-0.010739386163783102	2013-03-12 10:42:30
2013-03-12 10:15:30	-0.013831407403839601	2013-03-12 10:42:30
2013-03-12 10:15:45	-0.01659069681493409	2013-03-12 10:42:30
2013-03-12 10:16:00	-0.018951557514939314	2013-03-12 10:42:30
2013-03-12 10:16:15	-0.02085882299688021	2013-03-12 10:42:30
2013-03-12 10:16:30	-0.022269334908142664	2013-03-12 10:42:30
2013-03-12 10:16:45	-0.023152974679501427	2013-03-12 10:42:30
2013-03-12 10:17:00	-0.023493214418054128	2013-03-12 10:42:30
2013-03-12 10:17:15	-0.023287179821792674	2013-03-12 10:42:30
2013-03-12 10:17:30	-0.02254524551094607	2013-03-12 10:42:30
2013-03-12 10:17:45	-0.02129020866584845	2013-03-12 10:42:30
2013-03-12 10:18:00	-0.019556108041655446	2013-03-12 10:42:30
2013-03-12 10:18:15	-0.017386770779904897	2013-03-12 10:42:30
2013-03-12 10:18:30	-0.014834178295391567	2013-03-12 10:42:30
2013-03-12 10:18:45	-0.011956745042384037	2013-03-12 10:42:30
2013-03-12 10:19:00	-0.008817600882722381	2013-03-12 10:42:30
2013-03-12 10:19:15	-0.005482960009471362	2013-03-12 10:42:30
2013-03-12 10:19:30	-0.0020206476700828755	2013-03-12 10:42:30
2013-03-12 10:19:45	0.0015011593656725616	2013-03-12 10:42:30
2013-03-12 10:20:00	0.005014941548899666	2013-03-12 10:42:30
2013-03-12 10:20:15	0.008454580042725776	2013-03-12 10:42:30
2013-03-12 10:20:30	0.011755846420448671	2013-03-12 10:42:30
2013-03-12 10:20:45	0.014856678073167347	2013-03-12 10:42:30
2013-03-12 10:21:00	0.017697306655636742	2013-03-12 10:42:30
2013-03-12 10:21:15	0.02022033118350422	2013-03-12 10:42:30
2013-03-12 10:21:30	0.022370844325494996	2013-03-12 10:42:30
2013-03-12 10:21:45	0.024096726436385493	2013-03-12 10:42:30
2013-03-12 10:22:00	0.025349214357283763	2013-03-12 10:42:30
2013-03-12 10:22:15	0.02608382992438141	2013-03-12 10:42:30
2013-03-12 10:22:30	0.02626171726227422	2013-03-12 10:42:30
2013-03-12 10:22:45	0.025851390887132012	2013-03-12 10:42:30
2013-03-12 10:23:00	0.024830842535907387	2013-03-12 10:42:30
2013-03-12 10:23:15	0.023189898693387317	2013-03-12 10:42:30
2013-03-12 10:23:30	0.02093266880592662	2013-03-12 10:42:30
2013-03-12 10:23:45	0.018079881961596603	2013-03-12 10:42:30
2013-03-12 10:24:00	0.014670882632306325	2013-03-12 10:42:30
2013-03-12 10:24:15	0.010765048024080907	2013-03-12 10:42:30
2013-03-12 10:24:30	0.006442403102458805	2013-03-12 10:42:30
2013-03-12 10:24:45	0.001803244814541545	2013-03-12 10:42:30
2013-03-12 10:25:00	-0.003033357452951666	2013-03-12 10:42:30
2013-03-12 10:25:15	-0.007932246534928605	2013-03-12 10:42:30
2013-03-12 10:25:30	-0.012746026608313933	2013-03-12 10:42:30
2013-03-12 10:25:45	-0.017319970467416183	2013-03-12 10:42:30
2013-03-12 10:26:00	-0.02149779657361712	2013-03-12 10:42:30
2013-03-12 10:26:15	-0.025128055904113558	2013-03-12 10:42:30
2013-03-12 10:26:30	-0.028070813501604838	2013-03-12 10:42:30
2013-03-12 10:26:45	-0.030204275500802156	2013-03-12 10:42:30
2013-03-12 10:27:00	-0.0314310019479377	2013-03-12 10:42:30
2013-03-12 10:27:15	-0.03168335954935126	2013-03-12 10:42:30
2013-03-12 10:27:30	-0.030927905150770704	2013-03-12 10:42:30
2013-03-12 10:27:45	-0.029168446992000826	2013-03-12 10:42:30
2013-03-12 10:28:00	-0.02644760189178061	2013-03-12 10:42:30
2013-03-12 10:28:15	-0.02284674686919278	2013-03-12 10:42:30
2013-03-12 10:28:30	-0.018484347363438142	2013-03-12 10:42:30
2013-03-12 10:28:45	-0.013512725517845678	2013-03-12 10:42:30
2013-03-12 10:29:00	-0.008113406072781439	2013-03-12 10:42:30
2013-03-12 10:29:15	-0.002491240503024187	2013-03-12 10:42:30
2013-03-12 10:29:30	0.0031324403871776842	2013-03-12 10:42:30
2013-03-12 10:29:45	0.008527360491319028	2013-03-12 10:42:30
2013-03-12 10:30:00	0.01346221469877219	2013-03-12 10:42:30
2013-03-12 10:30:15	0.01771265868633634	2013-03-12 10:42:30
2013-03-12 10:30:30	0.021069073301405172	2013-03-12 10:42:30
2013-03-12 10:30:45	0.023343827800775	2013-03-12 10:42:30
2013-03-12 10:31:00	0.024377801320355545	2013-03-12 10:42:30
2013-03-12 10:31:15	0.024045967194995643	2013-03-12 10:42:30
2013-03-12 10:31:30	0.02226189768954644	2013-03-12 10:42:30
2013-03-12 10:31:45	0.01898110421537867	2013-03-12 10:42:30
2013-03-12 10:32:00	0.014203186456192531	2013-03-12 10:42:30
2013-03-12 10:32:15	0.007972818924863151	2013-03-12 10:42:30
2013-03-12 10:32:30	0.00037965126939013054	2013-03-12 10:42:30
